,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
235464,2015-08-27 10:10:00,43.3913,-72.0576,loon,1.5,24.08,edi.499.2,sub-daily,8,1440688200000.0
235465,2015-08-27 10:15:00,43.3913,-72.0576,loon,0.5,24.255,edi.499.2,sub-daily,8,1440688500000.0
235466,2015-08-27 10:20:00,43.3913,-72.0576,loon,1.5,24.09,edi.499.2,sub-daily,8,1440688800000.0
235467,2015-08-27 10:30:00,43.3913,-72.0576,loon,0.5,24.255,edi.499.2,sub-daily,8,1440689400000.0
235468,2015-08-27 10:40:00,43.3913,-72.0576,loon,1.5,24.09,edi.499.2,sub-daily,8,1440690000000.0
235469,2015-08-27 10:45:00,43.3913,-72.0576,loon,0.5,24.255,edi.499.2,sub-daily,8,1440690300000.0
235470,2015-08-27 10:50:00,43.3913,-72.0576,loon,1.5,24.09,edi.499.2,sub-daily,8,1440690600000.0
235471,2015-08-27 11:00:00,43.3913,-72.0576,loon,0.5,24.255,edi.499.2,sub-daily,8,1440691200000.0
397083,2015-08-27 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,23.66,edi.498.1,sub-daily,8,1440691200000.0
431878,2015-08-27 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,22.98,edi.498.1,sub-daily,8,1440691200000.0
466673,2015-08-27 11:00:00,43.3235,-72.0411,Newbury,1.5,23.16,edi.498.1,sub-daily,8,1440691200000.0
501468,2015-08-27 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,24.17,edi.498.1,sub-daily,8,1440691200000.0
