,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
212707,2014-09-17 10:10:00,43.3913,-72.0576,loon,1.5,18.87,edi.499.2,sub-daily,9,1410966600000.0
212708,2014-09-17 10:20:00,43.3913,-72.0576,loon,0.5,18.7,edi.499.2,sub-daily,9,1410967200000.0
212709,2014-09-17 10:30:00,43.3913,-72.0576,loon,0.5,18.7,edi.499.2,sub-daily,9,1410967800000.0
212710,2014-09-17 10:40:00,43.3913,-72.0576,loon,1.5,18.9,edi.499.2,sub-daily,9,1410968400000.0
212711,2014-09-17 10:50:00,43.3913,-72.0576,loon,0.5,18.759999999999994,edi.499.2,sub-daily,9,1410969000000.0
212712,2014-09-17 11:00:00,43.3913,-72.0576,loon,0.5,18.759999999999994,edi.499.2,sub-daily,9,1410969600000.0
394902,2014-09-17 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.2,18.06,edi.498.1,sub-daily,9,1410969600000.0
429697,2014-09-17 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,18.07,edi.498.1,sub-daily,9,1410969600000.0
464492,2014-09-17 11:00:00,43.3235,-72.0411,Newbury,1.4,18.23,edi.498.1,sub-daily,9,1410969600000.0
499287,2014-09-17 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,18.49,edi.498.1,sub-daily,9,1410969600000.0
