"year","min_depth_m_loon","max_depth_m_loon","min_month_loon","max_month_loon","min_depth_m_harbor","max_depth_m_harbor","min_month_harbor","max_month_harbor"
"2007",0.5,1.5,8,11,NA,NA,NA,NA
"2008",0.5,1.5,5,11,NA,NA,NA,NA
"2009",1,1.5,7,11,NA,NA,NA,NA
"2010",1,1.5,5,10,1.5,1.5,10,10
"2011",0.5,1.5,5,10,1.5,1.5,10,11
"2012",0.5,1.5,5,10,1.5,1.5,10,11
"2013",0.5,1.5,5,10,1.5,1.5,5,10
"2014",0.5,1.5,6,10,1.5,1.5,10,11
"2015",0.5,1.5,6,10,NA,NA,NA,NA
"2016",1.5,1.5,5,10,1.5,1.5,5,11
"2017",1.5,1.5,5,10,1.5,1.5,5,6
"2018",0.25,0.85,5,10,NA,NA,NA,NA
"2019",1.5,1.5,5,11,NA,NA,NA,NA
"2020",1.5,1.5,5,10,0.75,0.75,10,11
