"month","dataset","p-value","slope","lower","upper"
"May","all data",0.728,0.018,-0.084,0.119
"May","landast",0.299,0.049,-0.046,0.143
"May","in-situ",0.829,0.019,-0.16,0.198
"June","all data",0.237,0.042,-0.029,0.113
"June","landast",0.176,0.072,-0.035,0.178
"June","in-situ",0.78,0.014,-0.088,0.117
"July","all data",0,0.083,0.045,0.12
"July","landast",0.151,0.042,-0.017,0.101
"July","in-situ",0,0.114,0.064,0.163
"August","all data",0,0.069,0.035,0.103
"August","landast",0.002,0.098,0.038,0.157
"August","in-situ",0.026,0.048,0.006,0.089
"September","all data",0.002,0.071,0.027,0.116
"September","landast",0.001,0.103,0.049,0.156
"September","in-situ",0.723,0.013,-0.061,0.086
"October","all data",0.019,0.077,0.013,0.141
"October","landast",0.013,0.099,0.023,0.175
"October","in-situ",0.976,0.001,-0.108,0.111
