"month","variable","All missions","LS 5","LS 7","LS 8"
"05","n_obs",13,2,8,3
"05","mae",1.11,1,1.07,1.28
"05","rmse",1.25,1.15,1.25,1.33
"05","bias",0.63,1,0.52,0.67
"06","n_obs",10,2,5,3
"06","mae",0.77,1.07,0.75,0.6
"06","rmse",0.87,1.15,0.86,0.63
"06","bias",0.77,1.07,0.75,0.6
"07","n_obs",23,3,12,8
"07","mae",0.39,0.22,0.49,0.29
"07","rmse",0.51,0.24,0.62,0.37
"07","bias",0.09,-0.09,0.19,-0.01
"08","n_obs",24,4,15,5
"08","mae",0.5,0.18,0.56,0.59
"08","rmse",0.6,0.2,0.67,0.61
"08","bias",-0.13,-0.09,-0.07,-0.33
"09","n_obs",26,4,16,6
"09","mae",0.65,0.58,0.67,0.66
"09","rmse",0.84,0.61,0.86,0.93
"09","bias",-0.25,-0.05,-0.49,0.29
"10","n_obs",16,3,10,3
"10","mae",0.43,0.45,0.37,0.59
"10","rmse",0.48,0.54,0.4,0.61
"10","bias",-0.24,0.13,-0.24,-0.59
"11","n_obs",9,2,6,1
"11","mae",0.53,0.47,0.45,1.1
"11","rmse",0.61,0.51,0.51,1.1
"11","bias",-0.51,-0.47,-0.42,-1.1
